# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
-31.748622+0.000000j 28.192708+0.000000j 9.801554+0.000000j
-30.796351+0.000000j 27.899098+0.000000j 9.718044+0.000000j
-30.359272+0.000000j 28.739357+0.000000j 9.397222+0.000000j
-30.432248+0.000000j 29.625151+0.000000j 9.855528+0.000000j
-29.835193+0.000000j 29.340188+0.000000j 10.605409+0.000000j
-29.725844+0.000000j 29.444421+0.000000j 11.454786+0.000000j
-29.674050+0.000000j 30.433169+0.000000j 11.595126+0.000000j
-29.368493+0.000000j 31.385340+0.000000j 11.597489+0.000000j
-19.995222+0.000000j -5.040225+0.000000j 10.811343+0.000000j
-19.860885+0.000000j -4.637094+0.000000j 11.718559+0.000000j
-19.729986+0.000000j -4.260054+0.000000j 12.551094+0.000000j
-18.797648+0.000000j -3.922646+0.000000j 12.421087+0.000000j
-18.550256+0.000000j -3.940969+0.000000j 13.389829+0.000000j
-17.784373+0.000000j -3.872625+0.000000j 12.852538+0.000000j
-17.561121+0.000000j -3.651378+0.000000j 13.606769+0.000000j
-17.310828+0.000000j -3.481543+0.000000j 14.280698+0.000000j
-16.379052+0.000000j -3.552338+0.000000j 13.924635+0.000000j
-16.330844+0.000000j -3.590704+0.000000j 14.922735+0.000000j
-15.778698+0.000000j -3.409134+0.000000j 14.396224+0.000000j
-14.788186+0.000000j -2.884435+0.000000j 16.165274+0.000000j
-15.563750+0.000000j -2.034591+0.000000j 19.555830+0.000000j
-15.788480+0.000000j -1.942337+0.000000j 18.585785+0.000000j
-16.120139+0.000000j -1.782638+0.000000j 17.656002+0.000000j
-16.384766+0.000000j -1.586131+0.000000j 16.230466+0.000000j
-15.936890+0.000000j -1.442090+0.000000j 16.659246+0.000000j
-15.483501+0.000000j -1.419926+0.000000j 17.188585+0.000000j
-15.858691+0.000000j -1.314684+0.000000j 16.267631+0.000000j
-16.478782+0.000000j -1.179233+0.000000j 15.494882+0.000000j
-16.646824+0.000000j -0.984382+0.000000j 14.323890+0.000000j
-16.101009+0.000000j -0.910524+0.000000j 14.054833+0.000000j
-15.680239+0.000000j -0.851144+0.000000j 14.234348+0.000000j
-16.341406+0.000000j -0.744170+0.000000j 13.491775+0.000000j
-17.045737+0.000000j -0.602485+0.000000j 12.796186+0.000000j
-16.512315+0.000000j -0.629477+0.000000j 13.100841+0.000000j
-16.619077+0.000000j -0.671794+0.000000j 13.153182+0.000000j
-17.857204+0.000000j -0.150241+0.000000j 12.027957+0.000000j
-17.464816+0.000000j 0.423667+0.000000j 11.309166+0.000000j
-17.726156+0.000000j 0.466834+0.000000j 12.273447+0.000000j
-18.819329+0.000000j 0.821990+0.000000j 11.171019+0.000000j
-18.839457+0.000000j 0.895263+0.000000j 11.657093+0.000000j
-20.214181+0.000000j 1.446855+0.000000j 10.859748+0.000000j
-19.351966+0.000000j 1.322481+0.000000j 11.350784+0.000000j
-18.480344+0.000000j 1.560281+0.000000j 11.779419+0.000000j
-19.648076+0.000000j 2.040631+0.000000j 11.092069+0.000000j
-20.100195+0.000000j 1.687055+0.000000j 11.227427+0.000000j
-20.075068+0.000000j 2.436555+0.000000j 12.526176+0.000000j
-21.003564+0.000000j 2.749243+0.000000j 12.325873+0.000000j
-20.036952+0.000000j 2.964557+0.000000j 12.464801+0.000000j
-20.415700+0.000000j 2.708539+0.000000j 11.414059+0.000000j
-19.442047+0.000000j 2.607177+0.000000j 12.136393+0.000000j
-19.491868+0.000000j 2.725575+0.000000j 12.103316+0.000000j
-18.772064+0.000000j 2.828228+0.000000j 12.789861+0.000000j
-19.717700+0.000000j 3.010997+0.000000j 12.520848+0.000000j
-20.612908+0.000000j 2.715008+0.000000j 12.673525+0.000000j
-21.664659+0.000000j 2.669055+0.000000j 12.077850+0.000000j
-22.572712+0.000000j 2.480604+0.000000j 11.358783+0.000000j
-23.487017+0.000000j 2.510136+0.000000j 10.954834+0.000000j
-23.978011+0.000000j 2.790834+0.000000j 10.130132+0.000000j
-24.803483+0.000000j 2.407644+0.000000j 9.916783+0.000000j
-25.729026+0.000000j 2.415595+0.000000j 9.386041+0.000000j
-26.302686+0.000000j 2.525868+0.000000j 8.707756+0.000000j
-25.312771+0.000000j 2.660877+0.000000j 8.750669+0.000000j
-26.236794+0.000000j 2.356967+0.000000j 8.518678+0.000000j
-27.167452+0.000000j 2.155437+0.000000j 8.557685+0.000000j
-27.911927+0.000000j 1.798242+0.000000j 7.452155+0.000000j
-28.037604+0.000000j 1.873028+0.000000j 5.930191+0.000000j
-28.905637+0.000000j 1.563759+0.000000j 5.541767+0.000000j
-27.942534+0.000000j 1.768518+0.000000j 5.716430+0.000000j
-27.321842+0.000000j 2.017543+0.000000j 6.452418+0.000000j
-27.594366+0.000000j 1.648816+0.000000j 5.247751+0.000000j
-28.249454+0.000000j 1.503686+0.000000j 4.210190+0.000000j
-29.237163+0.000000j 1.422473+0.000000j 4.076640+0.000000j
-29.762487+0.000000j 1.919383+0.000000j 3.385905+0.000000j
-28.955578+0.000000j 2.107682+0.000000j 3.729791+0.000000j
-29.522151+0.000000j 2.062809+0.000000j 2.865585+0.000000j
-30.082804+0.000000j 2.000203+0.000000j 1.722010+0.000000j
-31.004582+0.000000j 2.035117+0.000000j 1.335868+0.000000j
-30.138257+0.000000j 2.432582+0.000000j 1.638360+0.000000j
-31.086789+0.000000j 2.911823+0.000000j 1.538786+0.000000j
-31.682159+0.000000j 2.544401+0.000000j 0.533229+0.000000j
-32.212454+0.000000j 1.911386+0.000000j -0.127097+0.000000j
-33.124501+0.000000j 1.769819+0.000000j -0.511972+0.000000j
-34.020255+0.000000j 1.480767+0.000000j -0.849721+0.000000j
-35.095826+0.000000j 1.744042+0.000000j -0.857283+0.000000j
-35.657248+0.000000j 1.457611+0.000000j -2.047073+0.000000j
-36.060677+0.000000j 1.140370+0.000000j -3.943400+0.000000j
-36.991284+0.000000j 1.267467+0.000000j -4.286644+0.000000j
-37.866685+0.000000j 1.497490+0.000000j -4.711805+0.000000j
-38.777174+0.000000j 2.266667+0.000000j -4.794125+0.000000j
-39.174145+0.000000j 1.903849+0.000000j -6.164165+0.000000j
-40.933893+0.000000j 1.107080+0.000000j -11.226457+0.000000j
-41.853289+0.000000j 1.319948+0.000000j -11.557210+0.000000j
-42.822450+0.000000j 1.138502+0.000000j -11.723954+0.000000j
-43.774044+0.000000j 1.088537+0.000000j -10.755067+0.000000j
-44.432174+0.000000j 0.967227+0.000000j -11.655688+0.000000j
-45.078662+0.000000j 0.640784+0.000000j -14.147529+0.000000j
-46.045743+0.000000j 0.427611+0.000000j -14.286496+0.000000j
-46.984672+0.000000j 0.095937+0.000000j -14.378172+0.000000j
-48.169091+0.000000j -0.013150+0.000000j -13.904757+0.000000j
-48.647128+0.000000j -0.584738+0.000000j -15.196907+0.000000j
-49.303073+0.000000j -1.414003+0.000000j -16.738246+0.000000j
-50.289539+0.000000j -1.548995+0.000000j -16.831318+0.000000j
-51.275533+0.000000j -1.707695+0.000000j -16.882596+0.000000j
-51.843500+0.000000j -0.715904+0.000000j -16.844105+0.000000j
-52.345689+0.000000j -1.100829+0.000000j -18.145286+0.000000j
-53.886473+0.000000j -1.547002+0.000000j -23.942476+0.000000j
-54.873841+0.000000j -1.679617+0.000000j -24.029178+0.000000j
-55.804714+0.000000j -1.417083+0.000000j -24.283252+0.000000j
-57.056259+0.000000j -1.141092+0.000000j -23.923542+0.000000j
-57.482143+0.000000j -1.675694+0.000000j -25.092558+0.000000j
-58.212671+0.000000j -2.278531+0.000000j -26.716321+0.000000j
-59.195906+0.000000j -2.390310+0.000000j -26.860384+0.000000j
-60.173110+0.000000j -2.551371+0.000000j -26.998700+0.000000j
-61.377737+0.000000j -2.384651+0.000000j -26.518916+0.000000j
-61.891110+0.000000j -2.937869+0.000000j -28.023421+0.000000j
-62.451986+0.000000j -3.222865+0.000000j -32.084556+0.000000j
-63.447124+0.000000j -3.318231+0.000000j -32.109158+0.000000j
-64.441234+0.000000j -3.305891+0.000000j -32.216828+0.000000j
-65.760549+0.000000j -3.665042+0.000000j -31.640519+0.000000j
-65.950731+0.000000j -3.777892+0.000000j -32.386487+0.000000j
-66.738545+0.000000j -4.020323+0.000000j -33.437528+0.000000j
-67.692935+0.000000j -3.922351+0.000000j -33.719561+0.000000j
-68.654922+0.000000j -3.801045+0.000000j -33.964232+0.000000j
-69.786849+0.000000j -3.881711+0.000000j -33.957550+0.000000j
-70.408531+0.000000j -3.810929+0.000000j -34.480719+0.000000j
-71.214330+0.000000j -4.794412+0.000000j -37.883438+0.000000j
-72.157444+0.000000j -4.544219+0.000000j -38.102390+0.000000j
-73.133398+0.000000j -4.639920+0.000000j -38.298232+0.000000j
-74.542196+0.000000j -4.366400+0.000000j -38.254543+0.000000j
-74.510369+0.000000j -4.793860+0.000000j -39.085143+0.000000j
-75.227576+0.000000j -4.532338+0.000000j -43.914953+0.000000j
-76.047705+0.000000j -4.203638+0.000000j -44.383295+0.000000j
-77.002909+0.000000j -4.393956+0.000000j -44.609931+0.000000j
-78.604997+0.000000j -4.307426+0.000000j -43.820211+0.000000j
-78.138393+0.000000j -4.651049+0.000000j -45.643731+0.000000j
-78.398135+0.000000j -4.154577+0.000000j -48.122638+0.000000j
-79.379922+0.000000j -4.285732+0.000000j -48.260090+0.000000j
-80.369208+0.000000j -4.430040+0.000000j -48.282198+0.000000j
-81.186784+0.000000j -4.553468+0.000000j -48.701129+0.000000j
-82.251174+0.000000j -3.991311+0.000000j -48.939321+0.000000j
-82.054949+0.000000j -4.131212+0.000000j -53.131178+0.000000j
-83.053081+0.000000j -4.173911+0.000000j -53.087492+0.000000j
-83.340239+0.000000j -3.586922+0.000000j -53.844449+0.000000j
-84.817834+0.000000j -3.020296+0.000000j -53.568885+0.000000j
-84.563669+0.000000j -3.399963+0.000000j -54.828500+0.000000j
-85.534113+0.000000j -4.068155+0.000000j -56.155013+0.000000j
-86.429974+0.000000j -4.030216+0.000000j -56.597724+0.000000j
-87.302515+0.000000j -4.276084+0.000000j -57.019887+0.000000j
-88.622614+0.000000j -4.299693+0.000000j -57.662505+0.000000j
